customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
cust_000055,91,2,1155.0,4,2,3,9,Loyal Customers
cust_000056,192,3,1879.5100000000002,3,4,4,11,Champions
cust_000058,70,2,1033.1100000000001,4,2,3,9,Loyal Customers
cust_000060,125,3,2296.3199999999997,3,4,4,11,Champions
cust_000061,65,1,78.64,4,1,1,6,Potential Loyalists
cust_000062,587,1,46.84,1,1,1,3,Needs Attention
cust_000063,261,1,66.72,2,1,1,4,Needs Attention
cust_000064,244,3,786.77,2,4,3,9,Loyal Customers
cust_000065,367,2,121.59,2,2,1,5,Needs Attention
cust_000066,55,3,608.69,4,4,3,11,Champions
cust_000067,51,2,559.15,4,2,2,8,Loyal Customers
cust_000068,599,1,2595.1000000000004,1,1,4,6,Potential Loyalists
cust_000069,153,1,631.3000000000001,3,1,3,7,Potential Loyalists
cust_000070,638,1,205.55,1,1,1,3,Needs Attention
cust_000071,80,5,2489.41,4,4,4,12,Champions
cust_000072,10,1,44.46,4,1,1,6,Potential Loyalists
cust_000073,143,1,287.51,3,1,2,6,Potential Loyalists
cust_000074,509,2,1285.46,1,2,3,6,Potential Loyalists
cust_000075,251,2,382.52,2,2,2,6,Potential Loyalists
cust_000076,46,2,657.66,4,2,3,9,Loyal Customers
cust_000077,621,1,108.42,1,1,1,3,Needs Attention
cust_000078,57,3,1977.0400000000002,4,4,4,12,Champions
cust_000079,542,1,449.39,1,1,2,4,Needs Attention
cust_000080,316,2,2954.74,2,2,4,8,Loyal Customers
cust_000081,109,2,583.94,3,2,3,8,Loyal Customers
cust_000082,8,1,832.5799999999999,4,1,3,8,Loyal Customers
cust_000086,685,1,216.16,1,1,1,3,Needs Attention
cust_000087,382,1,234.6,2,1,1,4,Needs Attention
cust_000089,175,3,496.82000000000005,3,4,2,9,Loyal Customers
cust_000090,407,1,103.69,2,1,1,4,Needs Attention
cust_000091,432,1,60.17,1,1,1,3,Needs Attention
cust_000092,284,2,643.8000000000001,2,2,3,7,Potential Loyalists
cust_000093,486,1,137.89,1,1,1,3,Needs Attention
cust_000094,82,1,1113.87,4,1,3,8,Loyal Customers
cust_000095,169,1,135.24,3,1,1,5,Needs Attention
cust_000096,510,1,2318.81,1,1,4,6,Potential Loyalists
cust_000097,58,1,654.94,4,1,3,8,Loyal Customers
cust_000098,203,3,644.42,3,4,3,10,Champions
cust_000100,353,3,857.3399999999999,2,4,3,9,Loyal Customers
cust_000104,23,3,3133.95,4,4,4,12,Champions
cust_000105,42,5,1007.26,4,4,3,11,Champions
cust_000106,353,2,3910.6099999999997,2,2,4,8,Loyal Customers
cust_000107,74,2,568.9,4,2,2,8,Loyal Customers
cust_000108,606,1,312.98,1,1,2,4,Needs Attention
cust_000109,364,1,245.32,2,1,2,5,Needs Attention
cust_000110,643,1,2487.45,1,1,4,6,Potential Loyalists
cust_000112,508,1,102.9,1,1,1,3,Needs Attention
cust_000114,721,1,155.11999999999998,1,1,1,3,Needs Attention
cust_000115,259,1,248.05,2,1,2,5,Needs Attention
cust_000116,378,1,228.78,2,1,1,4,Needs Attention
cust_000117,260,2,676.49,2,2,3,7,Potential Loyalists
cust_000118,686,1,126.36,1,1,1,3,Needs Attention
cust_000120,35,2,569.41,4,2,2,8,Loyal Customers
cust_000122,590,1,249.81,1,1,2,4,Needs Attention
cust_000124,216,2,238.12,3,2,1,6,Potential Loyalists
cust_000125,333,2,2203.52,2,2,4,8,Loyal Customers
cust_000126,269,2,1056.31,2,2,3,7,Potential Loyalists
cust_000128,620,1,306.26000000000005,1,1,2,4,Needs Attention
cust_000129,565,1,224.33,1,1,1,3,Needs Attention
cust_000130,622,1,74.8,1,1,1,3,Needs Attention
cust_000131,497,1,750.5699999999999,1,1,3,5,At Risk (high value)
cust_000132,59,1,243.67,4,1,2,7,Potential Loyalists
cust_000133,392,1,1571.62,2,1,3,6,Potential Loyalists
cust_000136,380,1,110.03,2,1,1,4,Needs Attention
cust_000137,354,1,2677.07,2,1,4,7,Potential Loyalists
cust_000138,266,2,1840.15,2,2,4,8,Loyal Customers
cust_000139,175,1,91.49,3,1,1,5,Needs Attention
cust_000140,292,2,2433.4300000000003,2,2,4,8,Loyal Customers
cust_000141,66,1,1759.56,4,1,3,8,Loyal Customers
cust_000142,417,3,3077.8,2,4,4,10,Champions
cust_000143,78,3,3156.33,4,4,4,12,Champions
cust_000144,693,1,167.21,1,1,1,3,Needs Attention
cust_000145,37,4,4504.780000000001,4,4,4,12,Champions
cust_000146,99,1,2035.55,3,1,4,8,Loyal Customers
cust_000147,539,1,2540.09,1,1,4,6,Potential Loyalists
cust_000148,5,3,3200.39,4,4,4,12,Champions
cust_000151,79,3,516.6600000000001,4,4,2,10,Champions
cust_000152,155,1,68.77,3,1,1,5,Needs Attention
cust_000153,152,3,2393.87,3,4,4,11,Champions
cust_000154,26,3,696.12,4,4,3,11,Champions
cust_000155,348,1,73.00999999999999,2,1,1,4,Needs Attention
cust_000156,159,1,91.47,3,1,1,5,Needs Attention
cust_000158,659,2,2128.33,1,2,4,7,Potential Loyalists
cust_000159,196,1,91.95,3,1,1,5,Needs Attention
cust_000160,207,1,283.65,3,1,2,6,Potential Loyalists
cust_000161,273,2,157.81,2,2,1,5,Needs Attention
cust_000162,310,2,432.34999999999997,2,2,2,6,Potential Loyalists
cust_000163,230,1,748.79,3,1,3,7,Potential Loyalists
cust_000164,335,1,2636.38,2,1,4,7,Potential Loyalists
cust_000165,35,2,406.11,4,2,2,8,Loyal Customers
cust_000166,406,1,983.5,2,1,3,6,Potential Loyalists
cust_000170,466,1,110.21,1,1,1,3,Needs Attention
cust_000171,20,2,195.75,4,2,1,7,Potential Loyalists
cust_000172,485,1,254.25,1,1,2,4,Needs Attention
cust_000173,377,1,2353.09,2,1,4,7,Potential Loyalists
cust_000174,225,2,492.4,3,2,2,7,Potential Loyalists
cust_000175,196,1,282.04,3,1,2,6,Potential Loyalists
cust_000178,190,2,3662.65,3,2,4,9,Loyal Customers
cust_000179,574,2,705.16,1,2,3,6,Potential Loyalists
cust_000182,123,2,3547.86,3,2,4,9,Loyal Customers
cust_000183,23,1,38.5,4,1,1,6,Potential Loyalists
cust_000184,64,1,381.82,4,1,2,7,Potential Loyalists
cust_000185,296,1,176.73000000000002,2,1,1,4,Needs Attention
cust_000186,218,1,347.23,3,1,2,6,Potential Loyalists
cust_000187,112,2,2570.21,3,2,4,9,Loyal Customers
cust_000189,573,1,246.25,1,1,2,4,Needs Attention
cust_000190,2,2,2102.33,4,2,4,10,Champions
cust_000191,43,4,2028.35,4,4,4,12,Champions
cust_000192,73,2,4192.82,4,2,4,10,Champions
cust_000193,139,2,3892.6099999999997,3,2,4,9,Loyal Customers
cust_000194,280,1,189.87,2,1,1,4,Needs Attention
cust_000195,39,2,1442.01,4,2,3,9,Loyal Customers
cust_000197,200,1,89.01,3,1,1,5,Needs Attention
cust_000198,211,1,346.98999999999995,3,1,2,6,Potential Loyalists
cust_000201,450,2,503.59,1,2,2,5,Needs Attention
cust_000202,204,1,68.42,3,1,1,5,Needs Attention
cust_000203,21,2,555.6,4,2,2,8,Loyal Customers
cust_000204,489,2,724.4399999999999,1,2,3,6,Potential Loyalists
cust_000205,535,1,364.71,1,1,2,4,Needs Attention
cust_000206,92,2,356.75,4,2,2,8,Loyal Customers
cust_000207,33,3,1895.4099999999999,4,4,4,12,Champions
cust_000209,239,2,722.32,3,2,3,8,Loyal Customers
cust_000211,55,1,56.74,4,1,1,6,Potential Loyalists
cust_000212,561,1,42.41,1,1,1,3,Needs Attention
cust_000213,565,1,231.28,1,1,1,3,Needs Attention
cust_000214,585,1,1524.33,1,1,3,5,At Risk (high value)
cust_000215,10,2,274.0,4,2,2,8,Loyal Customers
cust_000216,191,1,152.41,3,1,1,5,Needs Attention
cust_000219,198,1,1855.5,3,1,4,8,Loyal Customers
cust_000220,173,1,1943.51,3,1,4,8,Loyal Customers
cust_000223,219,2,3039.07,3,2,4,9,Loyal Customers
cust_000224,76,3,3169.2700000000004,4,4,4,12,Champions
cust_000225,487,2,1102.48,1,2,3,6,Potential Loyalists
cust_000226,32,4,563.85,4,4,2,10,Champions
cust_000227,373,1,2558.87,2,1,4,7,Potential Loyalists
cust_000228,706,1,1314.23,1,1,3,5,At Risk (high value)
cust_000229,173,1,76.58999999999999,3,1,1,5,Needs Attention
cust_000231,622,1,121.59,1,1,1,3,Needs Attention
cust_000232,48,3,350.26,4,4,2,10,Champions
cust_000233,28,3,602.05,4,4,3,11,Champions
cust_000234,124,4,2032.0899999999997,3,4,4,11,Champions
cust_000235,170,2,87.81,3,2,1,6,Potential Loyalists
cust_000236,315,2,264.27,2,2,2,6,Potential Loyalists
cust_000237,65,1,352.58,4,1,2,7,Potential Loyalists
cust_000238,670,2,368.71999999999997,1,2,2,5,Needs Attention
cust_000240,131,1,128.64,3,1,1,5,Needs Attention
cust_000241,1,1,194.16,4,1,1,6,Potential Loyalists
cust_000242,8,2,459.43,4,2,2,8,Loyal Customers
cust_000243,297,1,1187.8200000000002,2,1,3,6,Potential Loyalists
cust_000244,31,5,3702.54,4,4,4,12,Champions
cust_000246,114,4,1327.04,3,4,3,10,Champions
cust_000249,4,3,766.9100000000001,4,4,3,11,Champions
cust_000250,288,2,1697.0800000000002,2,2,3,7,Potential Loyalists
cust_000253,243,1,286.43,2,1,2,5,Needs Attention
cust_000255,18,3,639.11,4,4,3,11,Champions
cust_000256,423,3,732.98,2,4,3,9,Loyal Customers
cust_000258,32,2,3490.4900000000002,4,2,4,10,Champions
cust_000260,355,2,2474.72,2,2,4,8,Loyal Customers
cust_000261,155,1,1166.92,3,1,3,7,Potential Loyalists
cust_000262,20,2,957.5799999999999,4,2,3,9,Loyal Customers
cust_000264,8,3,868.05,4,4,3,11,Champions
cust_000266,104,1,1920.38,3,1,4,8,Loyal Customers
cust_000267,61,1,204.45,4,1,1,6,Potential Loyalists
cust_000268,713,1,125.55,1,1,1,3,Needs Attention
cust_000269,15,2,1598.1100000000001,4,2,3,9,Loyal Customers
cust_000270,98,4,3593.99,3,4,4,11,Champions
cust_000271,55,4,2503.63,4,4,4,12,Champions
cust_000272,272,1,453.39,2,1,2,5,Needs Attention
cust_000275,586,1,2590.19,1,1,4,6,Potential Loyalists
cust_000276,39,2,322.39,4,2,2,8,Loyal Customers
cust_000277,61,5,2867.33,4,4,4,12,Champions
cust_000278,492,1,1114.06,1,1,3,5,At Risk (high value)
cust_000279,75,2,5831.41,4,2,4,10,Champions
cust_000281,623,1,326.97,1,1,2,4,Needs Attention
cust_000282,168,2,1973.72,3,2,4,9,Loyal Customers
cust_000283,628,1,1402.45,1,1,3,5,At Risk (high value)
cust_000285,252,2,972.8399999999999,2,2,3,7,Potential Loyalists
cust_000287,161,2,404.17,3,2,2,7,Potential Loyalists
cust_000288,15,1,1327.63,4,1,3,8,Loyal Customers
cust_000289,163,1,416.3,3,1,2,6,Potential Loyalists
cust_000292,189,3,738.78,3,4,3,10,Champions
cust_000294,83,4,2982.4300000000003,4,4,4,12,Champions
cust_000295,680,1,50.13,1,1,1,3,Needs Attention
cust_000296,250,2,336.28,2,2,2,6,Potential Loyalists
cust_000297,404,1,43.41,2,1,1,4,Needs Attention
cust_000298,32,2,2399.79,4,2,4,10,Champions
cust_000299,367,1,218.42,2,1,1,4,Needs Attention
cust_000300,416,1,45.55,2,1,1,4,Needs Attention
cust_000301,17,3,3854.7799999999997,4,4,4,12,Champions
cust_000302,529,2,2356.41,1,2,4,7,Potential Loyalists
cust_000303,83,2,2319.9700000000003,4,2,4,10,Champions
cust_000305,50,1,31.35,4,1,1,6,Potential Loyalists
cust_000306,84,3,2153.71,4,4,4,12,Champions
cust_000307,148,3,1763.11,3,4,4,11,Champions
cust_000308,431,1,532.66,2,1,2,5,Needs Attention
cust_000309,416,2,2028.1999999999998,2,2,4,8,Loyal Customers
cust_000310,167,1,1583.32,3,1,3,7,Potential Loyalists
cust_000312,661,1,195.72000000000003,1,1,1,3,Needs Attention
cust_000314,144,2,248.47000000000003,3,2,2,7,Potential Loyalists
cust_000317,91,2,473.77,4,2,2,8,Loyal Customers
cust_000318,567,2,100.56,1,2,1,4,Needs Attention
cust_000319,612,1,104.12,1,1,1,3,Needs Attention
cust_000320,349,2,2119.38,2,2,4,8,Loyal Customers
cust_000321,69,1,3136.41,4,1,4,9,Loyal Customers
cust_000324,265,3,279.81,2,4,2,8,Loyal Customers
cust_000325,379,3,4253.63,2,4,4,10,Champions
cust_000328,401,2,458.71000000000004,2,2,2,6,Potential Loyalists
cust_000329,165,5,3991.77,3,4,4,11,Champions
cust_000330,289,1,182.56,2,1,1,4,Needs Attention
cust_000331,15,3,1151.9,4,4,3,11,Champions
cust_000333,604,1,158.74,1,1,1,3,Needs Attention
cust_000336,28,2,927.99,4,2,3,9,Loyal Customers
cust_000337,674,1,23.700000000000003,1,1,1,3,Needs Attention
cust_000338,20,1,2779.6400000000003,4,1,4,9,Loyal Customers
cust_000340,458,5,4593.13,1,4,4,9,Loyal Customers
cust_000341,638,1,102.96,1,1,1,3,Needs Attention
cust_000342,229,1,244.7,3,1,2,6,Potential Loyalists
cust_000343,134,2,550.53,3,2,2,7,Potential Loyalists
cust_000345,665,1,1285.48,1,1,3,5,At Risk (high value)
cust_000347,301,1,1851.6,2,1,4,7,Potential Loyalists
cust_000348,365,2,295.12,2,2,2,6,Potential Loyalists
cust_000349,13,1,1144.86,4,1,3,8,Loyal Customers
cust_000350,96,1,45.49,4,1,1,6,Potential Loyalists
cust_000352,1,3,210.87,4,4,1,9,Loyal Customers
cust_000354,2,3,642.7,4,4,3,11,Champions
cust_000355,26,1,251.53,4,1,2,7,Potential Loyalists
cust_000356,294,2,610.9699999999999,2,2,3,7,Potential Loyalists
cust_000358,5,3,555.19,4,4,2,10,Champions
cust_000359,432,1,52.72,1,1,1,3,Needs Attention
cust_000362,65,2,2183.21,4,2,4,10,Champions
cust_000363,382,1,920.51,2,1,3,6,Potential Loyalists
cust_000364,30,5,867.75,4,4,3,11,Champions
cust_000365,396,2,1627.16,2,2,3,7,Potential Loyalists
cust_000368,585,1,184.65,1,1,1,3,Needs Attention
cust_000369,258,1,504.0,2,1,2,5,Needs Attention
cust_000370,132,2,775.77,3,2,3,8,Loyal Customers
cust_000371,309,2,1938.89,2,2,4,8,Loyal Customers
cust_000372,366,2,401.13,2,2,2,6,Potential Loyalists
cust_000374,273,1,110.24,2,1,1,4,Needs Attention
cust_000375,174,2,2568.95,3,2,4,9,Loyal Customers
cust_000376,623,1,168.75,1,1,1,3,Needs Attention
cust_000378,128,2,2203.52,3,2,4,9,Loyal Customers
cust_000382,10,3,779.4100000000001,4,4,3,11,Champions
cust_000383,515,1,338.95,1,1,2,4,Needs Attention
cust_000384,483,1,238.06,1,1,1,3,Needs Attention
cust_000386,20,4,2130.46,4,4,4,12,Champions
cust_000388,220,1,70.31,3,1,1,5,Needs Attention
cust_000389,476,1,165.31,1,1,1,3,Needs Attention
cust_000390,168,3,1934.1499999999999,3,4,4,11,Champions
cust_000391,92,2,693.54,4,2,3,9,Loyal Customers
cust_000392,53,3,2123.86,4,4,4,12,Champions
cust_000393,148,1,487.86,3,1,2,6,Potential Loyalists
cust_000394,84,1,363.21,4,1,2,7,Potential Loyalists
cust_000395,36,3,807.4200000000001,4,4,3,11,Champions
cust_000397,381,1,1145.1,2,1,3,6,Potential Loyalists
cust_000400,318,2,447.33000000000004,2,2,2,6,Potential Loyalists
cust_000402,587,1,25.76,1,1,1,3,Needs Attention
cust_000403,283,1,272.40000000000003,2,1,2,5,Needs Attention
cust_000404,21,4,4886.59,4,4,4,12,Champions
cust_000405,244,2,694.07,2,2,3,7,Potential Loyalists
cust_000406,15,3,947.11,4,4,3,11,Champions
cust_000412,636,1,1392.78,1,1,3,5,At Risk (high value)
cust_000414,614,1,84.24000000000001,1,1,1,3,Needs Attention
cust_000415,538,1,227.24,1,1,1,3,Needs Attention
cust_000416,150,1,2434.89,3,1,4,8,Loyal Customers
cust_000417,136,1,36.59,3,1,1,5,Needs Attention
cust_000418,602,1,1408.8000000000002,1,1,3,5,At Risk (high value)
cust_000419,423,3,1098.4099999999999,2,4,3,9,Loyal Customers
cust_000421,276,2,535.01,2,2,2,6,Potential Loyalists
cust_000422,452,1,1355.7,1,1,3,5,At Risk (high value)
cust_000423,698,1,228.88,1,1,1,3,Needs Attention
cust_000427,265,1,101.82,2,1,1,4,Needs Attention
cust_000430,564,1,1665.8200000000002,1,1,3,5,At Risk (high value)
cust_000432,435,1,112.81,1,1,1,3,Needs Attention
cust_000434,655,1,267.06,1,1,2,4,Needs Attention
cust_000435,613,1,141.76999999999998,1,1,1,3,Needs Attention
cust_000436,254,2,251.57,2,2,2,6,Potential Loyalists
cust_000437,78,3,3044.4399999999996,4,4,4,12,Champions
cust_000440,110,2,373.53,3,2,2,7,Potential Loyalists
cust_000441,15,2,809.1299999999999,4,2,3,9,Loyal Customers
cust_000442,475,2,1892.8500000000001,1,2,4,7,Potential Loyalists
cust_000443,429,1,2621.38,2,1,4,7,Potential Loyalists
cust_000444,16,1,379.62,4,1,2,7,Potential Loyalists
cust_000445,112,1,92.0,3,1,1,5,Needs Attention
cust_000446,12,4,1077.73,4,4,3,11,Champions
cust_000448,117,2,552.37,3,2,2,7,Potential Loyalists
cust_000451,297,1,2657.65,2,1,4,7,Potential Loyalists
cust_000452,244,2,189.79999999999998,2,2,1,5,Needs Attention
cust_000453,670,1,115.66,1,1,1,3,Needs Attention
cust_000454,339,1,305.18,2,1,2,5,Needs Attention
cust_000455,101,1,81.94,3,1,1,5,Needs Attention
cust_000456,318,1,29.43,2,1,1,4,Needs Attention
cust_000458,559,1,1244.7,1,1,3,5,At Risk (high value)
cust_000459,60,1,3034.95,4,1,4,9,Loyal Customers
cust_000461,457,1,109.43,1,1,1,3,Needs Attention
cust_000462,383,1,48.68,2,1,1,4,Needs Attention
cust_000463,75,1,1146.44,4,1,3,8,Loyal Customers
cust_000464,369,3,276.36,2,4,2,8,Loyal Customers
cust_000465,252,1,229.12,2,1,1,4,Needs Attention
cust_000466,220,1,33.04,3,1,1,5,Needs Attention
cust_000470,545,1,2474.11,1,1,4,6,Potential Loyalists
cust_000471,702,1,264.83,1,1,2,4,Needs Attention
cust_000473,131,1,376.11,3,1,2,6,Potential Loyalists
cust_000475,8,2,480.89000000000004,4,2,2,8,Loyal Customers
cust_000477,436,1,201.36,1,1,1,3,Needs Attention
cust_000478,400,1,125.12,2,1,1,4,Needs Attention
cust_000479,146,1,302.28,3,1,2,6,Potential Loyalists
cust_000480,467,1,189.87,1,1,1,3,Needs Attention
cust_000481,648,2,1807.3500000000001,1,2,4,7,Potential Loyalists
cust_000482,718,1,39.4,1,1,1,3,Needs Attention
cust_000486,680,1,1689.45,1,1,3,5,At Risk (high value)
cust_000488,109,1,57.12,3,1,1,5,Needs Attention
cust_000489,144,3,2135.12,3,4,4,11,Champions
cust_000490,48,2,364.16999999999996,4,2,2,8,Loyal Customers
cust_000492,5,2,854.3299999999999,4,2,3,9,Loyal Customers
cust_000493,64,2,243.2,4,2,2,8,Loyal Customers
cust_000494,391,3,3789.61,2,4,4,10,Champions
cust_000495,41,2,773.88,4,2,3,9,Loyal Customers
cust_000496,26,3,4994.32,4,4,4,12,Champions
cust_000497,284,2,638.01,2,2,3,7,Potential Loyalists
cust_000498,126,1,229.43,3,1,1,5,Needs Attention
cust_000500,496,2,799.99,1,2,3,6,Potential Loyalists
cust_000501,105,1,1869.34,3,1,4,8,Loyal Customers
cust_000502,418,2,514.39,2,2,2,6,Potential Loyalists
cust_000504,217,3,1936.89,3,4,4,11,Champions
cust_000506,218,2,2252.04,3,2,4,9,Loyal Customers
cust_000507,402,2,1973.9199999999998,2,2,4,8,Loyal Customers
cust_000508,29,3,3353.09,4,4,4,12,Champions
cust_000510,92,1,199.66,4,1,1,6,Potential Loyalists
cust_000512,83,2,2190.2799999999997,4,2,4,10,Champions
cust_000514,303,2,428.78999999999996,2,2,2,6,Potential Loyalists
cust_000515,237,1,319.4,3,1,2,6,Potential Loyalists
cust_000517,172,1,49.370000000000005,3,1,1,5,Needs Attention
cust_000519,670,1,1111.77,1,1,3,5,At Risk (high value)
cust_000521,127,3,2496.78,3,4,4,11,Champions
cust_000522,431,1,296.23,2,1,2,5,Needs Attention
cust_000523,174,2,282.57,3,2,2,7,Potential Loyalists
cust_000524,415,1,406.19,2,1,2,5,Needs Attention
cust_000525,413,2,523.8,2,2,2,6,Potential Loyalists
cust_000526,22,3,2699.74,4,4,4,12,Champions
cust_000527,568,1,172.25,1,1,1,3,Needs Attention
cust_000528,563,1,1554.14,1,1,3,5,At Risk (high value)
cust_000529,18,2,205.88,4,2,1,7,Potential Loyalists
cust_000530,177,1,154.57000000000002,3,1,1,5,Needs Attention
cust_000531,286,1,101.7,2,1,1,4,Needs Attention
cust_000532,225,1,75.26,3,1,1,5,Needs Attention
cust_000534,332,2,492.92,2,2,2,6,Potential Loyalists
cust_000536,497,2,1015.78,1,2,3,6,Potential Loyalists
cust_000537,91,3,2301.96,4,4,4,12,Champions
cust_000539,107,3,3765.83,3,4,4,11,Champions
cust_000540,298,3,2686.33,2,4,4,10,Champions
cust_000541,333,2,725.47,2,2,3,7,Potential Loyalists
cust_000543,23,1,466.79,4,1,2,7,Potential Loyalists
cust_000544,228,2,3675.64,3,2,4,9,Loyal Customers
cust_000545,9,3,4116.02,4,4,4,12,Champions
cust_000546,712,1,90.76,1,1,1,3,Needs Attention
cust_000547,133,1,53.09,3,1,1,5,Needs Attention
cust_000548,35,2,692.63,4,2,3,9,Loyal Customers
cust_000550,416,1,2758.75,2,1,4,7,Potential Loyalists
cust_000551,46,1,233.96,4,1,1,6,Potential Loyalists
cust_000552,439,1,89.14999999999999,1,1,1,3,Needs Attention
cust_000555,144,2,402.17,3,2,2,7,Potential Loyalists
cust_000556,122,5,977.29,3,4,3,10,Champions
cust_000557,66,3,1074.54,4,4,3,11,Champions
cust_000559,389,4,2832.6,2,4,4,10,Champions
cust_000560,124,3,3325.16,3,4,4,11,Champions
cust_000561,629,2,97.55,1,2,1,4,Needs Attention
cust_000562,81,2,1437.46,4,2,3,9,Loyal Customers
cust_000564,389,2,630.7,2,2,3,7,Potential Loyalists
cust_000565,336,4,5846.33,2,4,4,10,Champions
cust_000567,72,1,230.85,4,1,1,6,Potential Loyalists
cust_000568,262,1,353.06,2,1,2,5,Needs Attention
cust_000569,27,2,3488.9700000000003,4,2,4,10,Champions
cust_000570,113,1,398.13,3,1,2,6,Potential Loyalists
cust_000571,57,3,3635.9800000000005,4,4,4,12,Champions
cust_000572,7,4,3303.3,4,4,4,12,Champions
cust_000573,173,1,35.57,3,1,1,5,Needs Attention
cust_000574,63,4,2968.2000000000003,4,4,4,12,Champions
cust_000575,669,1,81.0,1,1,1,3,Needs Attention
cust_000577,144,1,90.58,3,1,1,5,Needs Attention
cust_000579,107,1,214.83,3,1,1,5,Needs Attention
cust_000580,23,2,969.3199999999999,4,2,3,9,Loyal Customers
cust_000581,255,3,1440.0800000000002,2,4,3,9,Loyal Customers
cust_000582,210,1,1547.6,3,1,3,7,Potential Loyalists
cust_000583,100,2,4077.13,3,2,4,9,Loyal Customers
cust_000584,67,1,322.82000000000005,4,1,2,7,Potential Loyalists
cust_000585,569,1,327.66,1,1,2,4,Needs Attention
cust_000587,284,1,1482.32,2,1,3,6,Potential Loyalists
cust_000588,53,2,2341.9100000000003,4,2,4,10,Champions
cust_000589,119,2,262.26,3,2,2,7,Potential Loyalists
cust_000590,513,1,1786.71,1,1,4,6,Potential Loyalists
cust_000591,128,2,3346.1200000000003,3,2,4,9,Loyal Customers
cust_000593,29,3,309.07,4,4,2,10,Champions
cust_000594,306,2,250.76,2,2,2,6,Potential Loyalists
cust_000595,441,2,399.97,1,2,2,5,Needs Attention
cust_000596,134,3,280.8,3,4,2,9,Loyal Customers
cust_000597,53,4,1630.4700000000003,4,4,3,11,Champions
cust_000598,296,1,43.17,2,1,1,4,Needs Attention
cust_000599,432,1,269.40000000000003,1,1,2,4,Needs Attention
cust_000600,216,3,1686.59,3,4,3,10,Champions
cust_000602,372,2,668.8199999999999,2,2,3,7,Potential Loyalists
cust_000603,266,1,132.32,2,1,1,4,Needs Attention
cust_000604,244,2,281.23,2,2,2,6,Potential Loyalists
cust_000605,297,1,61.89,2,1,1,4,Needs Attention
cust_000606,41,1,2222.6000000000004,4,1,4,9,Loyal Customers
cust_000607,198,2,2046.1800000000003,3,2,4,9,Loyal Customers
cust_000609,163,1,1653.96,3,1,3,7,Potential Loyalists
cust_000610,307,1,76.71,2,1,1,4,Needs Attention
cust_000611,35,1,2121.45,4,1,4,9,Loyal Customers
cust_000612,128,1,1155.19,3,1,3,7,Potential Loyalists
cust_000613,339,3,543.1800000000001,2,4,2,8,Loyal Customers
cust_000614,183,3,2570.04,3,4,4,11,Champions
cust_000615,337,6,6634.66,2,4,4,10,Champions
cust_000616,74,1,135.46,4,1,1,6,Potential Loyalists
cust_000618,336,1,1062.27,2,1,3,6,Potential Loyalists
cust_000619,135,3,1447.09,3,4,3,10,Champions
cust_000620,530,1,1167.19,1,1,3,5,At Risk (high value)
